Date,Open,High,Low,Close,Adj Close,Volume
2006-07-13,23696.000000,24112.000000,23408.000000,24041.599609,18184.335938,371
2006-07-14,24080.000000,24832.000000,24080.000000,24624.000000,18624.843750,778
2006-07-17,24480.000000,24752.000000,24230.400391,24480.000000,18515.931641,1006
2006-07-18,24160.000000,25136.000000,24128.000000,24320.000000,18394.910156,1256
2006-07-19,24336.000000,24368.000000,23424.000000,23808.000000,18007.646484,763
2006-07-20,23552.000000,24528.000000,23552.000000,24528.000000,18552.232422,1039
2006-07-21,24864.000000,25056.000000,24627.199219,24928.000000,18854.779297,907
2006-07-24,24480.000000,24793.599609,23952.000000,23968.000000,18128.666016,814
2006-07-25,23952.000000,24224.000000,23552.000000,23680.000000,17910.832031,963
2006-07-26,23648.000000,24185.599609,23376.000000,23795.199219,17997.966797,1018
2006-07-27,23545.599609,24192.000000,23168.000000,24128.000000,18249.681641,1182
2006-07-28,23824.000000,23872.000000,23040.000000,23152.000000,17511.470703,1219
2006-07-31,23264.000000,23376.000000,22864.000000,23072.000000,17450.957031,454
2006-08-01,23632.000000,24160.000000,23552.000000,23904.000000,18080.259766,1031
2006-08-02,23459.199219,23875.199219,23072.000000,23424.000000,17717.201172,1174
2006-08-03,23872.000000,23904.000000,22864.000000,23120.000000,17487.265625,1524
2006-08-04,22400.000000,23712.000000,22400.000000,23296.000000,17620.386719,1744
2006-08-07,23536.000000,23817.599609,23344.000000,23584.000000,17838.222656,1135
2006-08-08,23472.000000,24316.800781,23392.000000,23974.400391,18133.511719,1442
2006-08-09,23232.000000,24048.000000,22899.199219,23955.199219,18118.986328,2445
2006-08-10,24038.400391,24160.000000,23456.000000,23600.000000,17850.324219,1515
2006-08-11,23840.000000,24144.000000,23680.000000,23878.400391,18060.896484,1264
2006-08-14,23776.000000,23776.000000,23008.000000,23632.000000,17874.525391,1759
2006-08-15,22944.000000,23209.599609,22428.800781,22480.000000,17003.185547,2975
2006-08-16,22156.800781,22272.000000,21427.199219,21440.000000,16216.559570,3300
2006-08-17,21568.000000,21568.000000,20992.000000,21280.000000,16095.544922,2864
2006-08-18,21436.800781,21712.000000,21145.599609,21184.000000,16022.933594,2151
2006-08-21,21564.800781,21756.800781,21443.199219,21600.000000,16337.583984,1913
2006-08-22,21676.800781,21820.800781,21184.000000,21606.400391,16342.420898,2129
2006-08-23,21536.000000,22121.599609,21337.599609,22032.000000,16664.333984,3216
2006-08-24,21792.000000,22192.000000,21760.000000,21811.199219,16497.326172,1884
2006-08-25,21817.599609,22176.000000,21398.400391,21763.199219,16461.021484,1641
2006-08-28,21734.400391,21830.400391,21337.599609,21440.000000,16216.559570,2186
2006-08-29,21520.000000,21894.400391,21264.000000,21344.000000,16143.955078,2143
2006-08-30,21264.000000,21497.599609,21158.400391,21232.000000,16059.237305,2093
2006-08-31,21142.400391,21315.199219,21059.199219,21212.800781,16044.716797,1580
2006-09-01,21030.400391,21209.599609,20848.000000,20982.400391,15870.448242,2224
2006-09-05,21068.800781,21222.400391,20582.400391,20617.599609,15594.523438,2523
2006-09-06,20784.000000,21468.800781,20784.000000,21395.199219,16182.675781,3153
2006-09-07,21536.000000,21779.199219,21184.000000,21660.800781,16383.571289,4862
2006-09-08,21584.000000,21676.800781,21283.199219,21401.599609,16187.517578,2176
2006-09-11,21712.000000,21840.000000,20931.199219,21164.800781,16008.411133,4319
2006-09-12,21168.000000,21168.000000,20272.000000,20368.000000,15405.736328,3467
2006-09-13,20355.199219,20422.400391,20064.000000,20128.000000,15224.206055,3697
2006-09-14,20208.000000,20320.000000,20006.400391,20019.199219,15141.914063,2393
2006-09-15,19792.000000,20064.000000,19600.000000,19948.800781,15088.666992,2703
2006-09-18,20080.000000,20096.000000,19635.199219,19862.400391,15023.313477,3069
2006-09-19,19900.800781,20512.000000,19881.599609,20192.000000,15272.616211,3896
2006-09-20,19792.000000,19891.199219,19523.199219,19600.000000,14824.846680,5253
2006-09-21,19568.000000,19964.800781,19395.199219,19881.599609,15037.835938,4895
2006-09-22,19952.000000,20336.000000,19936.000000,20144.000000,15236.308594,3915
