Date,Bullish,Neutral,Bearish,Total,Bullish 8-week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average +St. Dev.,Bullish Average -St. Dev.,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
9-11-87,0.5,0.23,0.27,1,0.4663,0.23,0.375,0.476,0.274,321.98,313.56,321.98
9-18-87,0.6,0.29,0.11,1,0.4963,0.49,0.375,0.476,0.274,323.08,314.86,314.86
9-25-87,0.53,0.17,0.3,1,0.53,0.23,0.375,0.476,0.274,321.19,310.54,320.16
10-2-87,0.44,0.26,0.3,1,0.515,0.14,0.375,0.476,0.274,328.07,321.69,328.07
10-9-87,0.46,0.39,0.15,1,0.5163,0.31,0.375,0.476,0.274,328.08,311.07,311.07
10-16-87,0.37,0.3,0.33,1,0.48,0.04,0.375,0.476,0.274,314.52,282.7,282.7
10-23-87,0.39,0.3,0.31,1,0.4638,0.08,0.375,0.476,0.274,258.39,224.84,248.22
10-30-87,0.44,0.23,0.33,1,0.4663,0.11,0.375,0.476,0.274,251.79,227.67,251.79
11-6-87,0.47,0.31,0.22,1,0.4625,0.25,0.375,0.476,0.274,255.75,248.31,250.41
11-13-87,0.31,0.41,0.28,1,0.4263,0.03,0.375,0.476,0.274,248.52,239,245.64
11-20-87,0.39,0.42,0.19,1,0.4088,0.2,0.375,0.476,0.274,246.76,240.05,242
11-27-87,0.27,0.46,0.27,1,0.3875,0,0.375,0.476,0.274,246.39,240.34,240.34
12-4-87,0.25,0.33,0.42,1,0.3613,-0.17,0.375,0.476,0.274,233.45,223.92,223.92
12-11-87,0.23,0.45,0.32,1,0.3438,-0.09,0.375,0.476,0.274,238.89,228.76,235.32
12-18-87,0.33,0.4,0.27,1,0.3363,0.06,0.375,0.476,0.274,249.16,242.19,249.16
12-24-87,0.28,0.52,0.2,1,0.3163,0.08,0.375,0.476,0.274,253.16,249.54,252.02
12-31-87,0.25,0.49,0.26,1,0.2888,-0.01,0.375,0.476,0.274,247.86,244.59,247.08
1-8-88,0.34,0.46,0.2,1,0.2925,0.14,0.375,0.476,0.274,261.07,243.4,243.4
1-15-88,0.34,0.4,0.26,1,0.2863,0.08,0.375,0.476,0.274,252.05,245.42,252.05
1-22-88,0.21,0.48,0.31,1,0.2788,-0.1,0.375,0.476,0.274,251.88,242.63,246.5
1-29-88,0.26,0.45,0.29,1,0.28,-0.03,0.375,0.476,0.274,257.07,249.38,257.07
2-5-88,0.32,0.53,0.15,1,0.2913,0.17,0.375,0.476,0.274,255.57,250.96,250.96
2-12-88,0.32,0.46,0.22,1,0.29,0.1,0.375,0.476,0.274,257.63,249.1,257.63
2-19-88,0.27,0.49,0.24,1,0.2888,0.03,0.375,0.476,0.274,261.61,257.91,261.61
2-26-88,0.3,0.51,0.19,1,0.295,0.11,0.375,0.476,0.274,265.64,261.58,262.46
3-4-88,0.38,0.4,0.22,1,0.3,0.16,0.375,0.476,0.274,267.98,267.22,267.3
3-11-88,0.43,0.4,0.17,1,0.3113,0.26,0.375,0.476,0.274,269.43,263.84,264.94
3-18-88,0.41,0.49,0.1,1,0.3363,0.31,0.375,0.476,0.274,271.22,266.13,271.12
3-25-88,0.45,0.38,0.17,1,0.36,0.28,0.375,0.476,0.274,268.91,258.51,258.51
4-1-88,0.35,0.45,0.2,1,0.3638,0.15,0.375,0.476,0.274,260.07,258.06,258.89
4-8-88,0.33,0.48,0.19,1,0.365,0.14,0.375,0.476,0.274,269.43,256.09,269.43
4-15-88,0.23,0.53,0.24,1,0.36,-0.01,0.375,0.476,0.274,271.55,259.75,259.77
4-22-88,0.23,0.57,0.2,1,0.3513,0.03,0.375,0.476,0.274,260.14,256.13,260.14
4-29-88,0.22,0.48,0.3,1,0.3313,-0.08,0.375,0.476,0.274,263.93,261.33,261.33
5-6-88,0.38,0.42,0.2,1,0.325,0.18,0.375,0.476,0.274,263,257.48,257.48
5-13-88,0.19,0.56,0.25,1,0.2975,-0.06,0.375,0.476,0.274,257.62,253.31,256.78
5-20-88,0.23,0.52,0.25,1,0.27,-0.02,0.375,0.476,0.274,258.71,251.35,253.02
5-27-88,0.28,0.52,0.2,1,0.2613,0.08,0.375,0.476,0.274,254.63,250.83,253.42
6-3-88,0.26,0.62,0.12,1,0.2525,0.14,0.375,0.476,0.274,266.69,262.16,266.45
6-10-88,0.28,0.49,0.23,1,0.2588,0.05,0.375,0.476,0.274,271.52,265.17,271.26
6-17-88,0.29,0.5,0.21,1,0.2663,0.08,0.375,0.476,0.274,274.44,269.77,270.68
6-24-88,0.33,0.44,0.23,1,0.28,0.1,0.375,0.476,0.274,275.66,268.94,273.78
7-1-88,0.45,0.38,0.17,1,0.2888,0.28,0.375,0.476,0.274,273.5,269.07,271.78
7-8-88,0.35,0.5,0.15,1,0.3088,0.2,0.375,0.476,0.274,275.8,270.02,270.02
7-15-88,0.26,0.37,0.37,1,0.3125,-0.11,0.375,0.476,0.274,272.05,267.77,272.05
7-22-88,0.16,0.58,0.26,1,0.2975,-0.1,0.375,0.476,0.274,270.51,263.5,263.5
7-29-88,0.23,0.54,0.23,1,0.2938,0,0.375,0.476,0.274,272.02,262.5,272.02
8-5-88,0.21,0.49,0.3,1,0.285,-0.09,0.375,0.476,0.274,272.98,271.15,271.15
8-12-88,0.26,0.48,0.26,1,0.2813,0,0.375,0.476,0.274,269.98,261.9,262.55
8-19-88,0.19,0.53,0.28,1,0.2638,-0.09,0.375,0.476,0.274,261.03,258.69,260.24
8-26-88,0.28,0.4,0.32,1,0.2425,-0.04,0.375,0.476,0.274,261.13,256.98,259.68
9-2-88,0.18,0.43,0.39,1,0.2213,-0.21,0.375,0.476,0.274,264.48,258.35,264.48
9-9-88,0.17,0.52,0.31,1,0.21,-0.14,0.375,0.476,0.274,266.84,265.59,266.84
9-16-88,0.24,0.46,0.3,1,0.22,-0.06,0.375,0.476,0.274,270.65,266.47,270.65
9-23-88,0.2,0.53,0.27,1,0.2163,-0.07,0.375,0.476,0.274,270.16,268.82,269.76
9-30-88,0.26,0.44,0.3,1,0.2225,-0.04,0.375,0.476,0.274,272.59,268.26,271.91
10-7-88,0.13,0.49,0.38,1,0.2063,-0.25,0.375,0.476,0.274,278.07,270.62,278.07
10-14-88,0.22,0.46,0.32,1,0.21,-0.1,0.375,0.476,0.274,278.24,273.98,275.5
10-21-88,0.26,0.51,0.23,1,0.2075,0.03,0.375,0.476,0.274,283.66,276.41,283.66
10-28-88,0.4,0.38,0.22,1,0.235,0.18,0.375,0.476,0.274,282.38,277.28,278.53
11-4-88,0.35,0.46,0.19,1,0.2575,0.16,0.375,0.476,0.274,279.2,276.31,276.31
11-11-88,0.23,0.56,0.21,1,0.2563,0.02,0.375,0.476,0.274,275.15,267.92,267.92
11-18-88,0.3,0.34,0.36,1,0.2688,-0.06,0.375,0.476,0.274,268.34,263.82,266.47
11-25-88,0.17,0.44,0.39,1,0.2575,-0.22,0.375,0.476,0.274,269,266.22,267.23
12-2-88,0.19,0.47,0.34,1,0.265,-0.15,0.375,0.476,0.274,273.7,268.64,271.81
12-9-88,0.17,0.44,0.39,1,0.2588,-0.22,0.375,0.476,0.274,278.13,274.93,277.03
12-16-88,0.24,0.54,0.22,1,0.2563,0.02,0.375,0.476,0.274,276.52,274.28,276.29
12-23-88,0.22,0.46,0.32,1,0.2338,-0.1,0.375,0.476,0.274,278.91,276.87,277.87
12-30-88,0.24,0.54,0.22,1,0.22,0.02,0.375,0.476,0.274,279.4,276.83,277.72
1-6-89,0.26,0.51,0.23,1,0.2238,0.03,0.375,0.476,0.274,280.67,275.31,280.67
1-13-89,0.36,0.44,0.2,1,0.2313,0.16,0.375,0.476,0.274,283.87,280.38,283.87
1-20-89,0.36,0.47,0.17,1,0.255,0.19,0.375,0.476,0.274,286.9,283.55,286.63
1-27-89,0.32,0.49,0.19,1,0.2713,0.13,0.375,0.476,0.274,293.82,284.5,293.82
2-3-89,0.33,0.44,0.23,1,0.2913,0.1,0.375,0.476,0.274,297.47,294.99,296.97
2-10-89,0.43,0.31,0.26,1,0.315,0.17,0.375,0.476,0.274,299.63,292.02,292.02
2-17-89,0.42,0.41,0.17,1,0.34,0.25,0.375,0.476,0.274,296.76,291.81,296.76
2-24-89,0.29,0.45,0.26,1,0.3463,0.03,0.375,0.476,0.274,295.98,287.13,287.13
3-3-89,0.29,0.35,0.36,1,0.35,-0.07,0.375,0.476,0.274,291.18,287.11,291.18
3-10-89,0.13,0.52,0.35,1,0.3213,-0.22,0.375,0.476,0.274,294.81,292.88,292.88
3-17-89,0.28,0.43,0.29,1,0.3113,-0.01,0.375,0.476,0.274,299.44,292.69,292.69
3-23-89,0.29,0.41,0.3,1,0.3075,-0.01,0.375,0.476,0.274,291.33,288.98,288.98
3-31-89,0.18,0.42,0.4,1,0.2888,-0.22,0.375,0.476,0.274,294.87,290.57,294.87
4-7-89,0.23,0.45,0.32,1,0.2638,-0.09,0.375,0.476,0.274,297.16,295.29,297.16
4-14-89,0.25,0.42,0.33,1,0.2425,-0.08,0.375,0.476,0.274,301.36,297.11,301.36
4-21-89,0.21,0.51,0.28,1,0.2325,-0.07,0.375,0.476,0.274,309.61,301.72,309.61
4-28-89,0.31,0.4,0.29,1,0.235,0.02,0.375,0.476,0.274,309.64,306.75,309.64
5-5-89,0.3,0.4,0.3,1,0.2563,0,0.375,0.476,0.274,309.12,307.61,307.61
5-12-89,0.38,0.43,0.19,1,0.2688,0.19,0.375,0.476,0.274,313.84,305.19,313.84
5-19-89,0.43,0.38,0.19,1,0.2863,0.24,0.375,0.476,0.274,321.24,315.28,321.24
5-26-89,0.48,0.31,0.21,1,0.3238,0.27,0.375,0.476,0.274,321.98,318.32,321.59
6-2-89,0.42,0.27,0.31,1,0.3475,0.11,0.375,0.476,0.274,325.52,319.05,325.52
6-9-89,0.43,0.34,0.23,1,0.37,0.2,0.375,0.476,0.274,326.95,322.03,326.69
6-16-89,0.32,0.37,0.31,1,0.3838,0.01,0.375,0.476,0.274,326.24,320.08,321.35
6-23-89,0.33,0.22,0.45,1,0.3863,-0.12,0.375,0.476,0.274,328,320.48,328
6-30-89,0.4,0.34,0.26,1,0.3988,0.14,0.375,0.476,0.274,328.44,317.98,317.98
7-7-89,0.37,0.32,0.31,1,0.3975,0.06,0.375,0.476,0.274,324.91,319.23,324.91
7-14-89,0.22,0.3,0.48,1,0.3713,-0.26,0.375,0.476,0.274,331.84,327.07,331.84
7-21-89,0.32,0.39,0.29,1,0.3513,0.03,0.375,0.476,0.274,335.9,331.35,335.9
7-28-89,0.41,0.25,0.34,1,0.35,0.07,0.375,0.476,0.274,342.15,333.67,342.15
8-4-89,0.35,0.3,0.35,1,0.34,0,0.375,0.476,0.274,346.08,343.75,343.92
8-11-89,0.53,0.21,0.26,1,0.3663,0.27,0.375,0.476,0.274,349.41,344.74,344.74
8-18-89,0.35,0.28,0.37,1,0.3688,-0.02,0.375,0.476,0.274,346.03,343.06,346.03
8-25-89,0.45,0.24,0.31,1,0.375,0.14,0.375,0.476,0.274,351.52,340.67,350.52
9-1-89,0.34,0.3,0.36,1,0.3713,-0.02,0.375,0.476,0.274,353.73,349.84,353.73
9-8-89,0.3,0.3,0.4,1,0.3813,-0.1,0.375,0.476,0.274,352.56,348.35,348.76
9-15-89,0.31,0.44,0.25,1,0.38,0.06,0.375,0.476,0.274,348.7,343.16,345.06
9-22-89,0.24,0.37,0.39,1,0.3588,-0.15,0.375,0.476,0.274,347.05,345.7,347.05
9-29-89,0.33,0.38,0.29,1,0.3563,0.04,0.375,0.476,0.274,349.15,344.23,349.15
10-6-89,0.24,0.43,0.33,1,0.32,-0.09,0.375,0.476,0.274,358.78,350.87,358.78
10-13-89,0.28,0.52,0.2,1,0.3113,0.08,0.375,0.476,0.274,359.8,333.65,333.65
10-20-89,0.39,0.28,0.33,1,0.3038,0.06,0.375,0.476,0.274,347.16,341.16,347.16
10-27-89,0.36,0.33,0.31,1,0.3063,0.05,0.375,0.476,0.274,344.83,335.06,335.06
11-3-89,0.37,0.31,0.32,1,0.315,0.05,0.375,0.476,0.274,341.2,335.07,337.62
11-10-89,0.27,0.37,0.36,1,0.31,-0.09,0.375,0.476,0.274,339.1,332.61,339.1
11-17-89,0.24,0.28,0.48,1,0.31,-0.24,0.375,0.476,0.274,341.61,337.99,341.61
11-22-89,0.27,0.4,0.33,1,0.3025,-0.06,0.375,0.476,0.274,343.97,339.35,343.97
12-1-89,0.28,0.4,0.32,1,0.3075,-0.04,0.375,0.476,0.274,350.63,343.6,350.63
12-8-89,0.31,0.41,0.28,1,0.3113,0.03,0.375,0.476,0.274,351.41,347.59,348.69
12-15-89,0.42,0.3,0.28,1,0.315,0.14,0.375,0.476,0.274,352.75,348.56,350.14
12-22-89,0.36,0.32,0.32,1,0.315,0.04,0.375,0.476,0.274,347.42,342.46,347.42
12-29-89,0.35,0.31,0.34,1,0.3125,0.01,0.375,0.476,0.274,353.4,346.81,353.4
1-5-90,0.4,0.3,0.3,1,0.3288,0.1,0.375,0.476,0.274,359.69,352.2,352.2
1-12-90,0.45,0.38,0.17,1,0.355,0.28,0.375,0.476,0.274,353.79,339.93,339.93
1-19-90,0.31,0.49,0.2,1,0.36,0.11,0.375,0.476,0.274,340.75,337,339.15
1-26-90,0.24,0.38,0.38,1,0.355,-0.14,0.375,0.476,0.274,331.61,325.8,325.8
2-2-90,0.15,0.37,0.48,1,0.335,-0.33,0.375,0.476,0.274,330.92,322.98,330.92
2-9-90,0.19,0.3,0.51,1,0.3063,-0.32,0.375,0.476,0.274,333.75,329.66,333.62
2-16-90,0.23,0.43,0.34,1,0.29,-0.11,0.375,0.476,0.274,334.89,330.08,332.72
2-23-90,0.24,0.38,0.38,1,0.2763,-0.14,0.375,0.476,0.274,327.99,324.15,324.15
3-2-90,0.21,0.37,0.42,1,0.2525,-0.21,0.375,0.476,0.274,335.54,328.67,335.54
